fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Jellinek, Adolf, Dr., geb. 26. Juni 1821 in Drslavice (Draslowitz) bei Uherský Brod (Ungarisch-Brod) in Mähren, gest. 28./29. Dez. 1893 in Wien. [BHR1],,,
Jerusalem, Nathan, hebr. N. Yerūšalmī, geb. in Prag, gest. 13. Juli 1793 in Votice (Wotitz), Zentralböhmen. [BHR1],,
Joël, David, Dr., geb. 12. Jan. 1815 in Inowrocław (Inowrazlaw), Prov. Posen, gest. 7. Sept. 1882 in Breslau. [BHR1],,
Joël, Ephraim Fischel, geb. 1795 in Izbica Kujawska (Isbitz) in Russisch-Polen, gest. 16. Juni 1851 in Moisling b. Lübeck. [BHR1],,,,
Joël, Hermann, Dr., auch Heymann oder Hirsch J., gest. 1881 in Jelenia Góra (Hirschberg), Niederschlesien. [BHR1],,
Joël, Heymann, geb. 15. Juni 1792 in Inowrocław (Inowrazlaw), gest. 12. Apr. 1845 in Skwierzyna (Schwerin a. d. Warthe), Prov. Posen. [BHR1],,,
Joël, Julius, Dr.,geb. 1828 in Łabiszyn (Labischin), Prov. Posen. [BHR1],,,
Joël, Koppel. [BHR1],,,,,,
Joel, Meyer, ab 1802 Bet-Midrasch-Rb. und Dajan in Inowrocław (Inowrazlaw), Netzedistrikt. LIT. Heppner und Herzberg, S. 440. [BHR1],,,
Joelsohn, Jecheskel, geb. Purim 1788 in Wieleń (Filehne), Netzedistrikt, gest. 23. Feb. 1885 in Altona. [BHR1],,,
Jolowicz, Heymann, Dr., geb. 23. Aug. 1816 in Zaniemyśl (Santomischel), Prov. Posen, gest. 31. Jan. 1875 in Königsberg. [BHR1],,
Jonas, H., Dr., um 1870 Rb. und Prediger am Tempel in Hamburg (Poolstr. 12). PUBL. Nīv Śefāthayim. Dreißig Predigten gehalten während des jüdischen Kalenderjahres 5529 im isr. Tempel zu Hamburg [BHR1], Hamburg 1870. LIT. Lippe 1879/81, S. 216.- Kayserling, Jüdische Literatur, S. 821.- Nicht erwähnt bei Andreas Brämer
Jonas, Löw, geb. ca. 1750. [BHR1],,,,,
Jonathan b. Isaak Halevi," gest. ""10. Tischri 1824"" (2. Okt. 1824?) in Zduny", Prov. Posen. [BHR1],,,,,
Josaphat, Gerson, geb. 1808 in Kassel, gest. 13. April 1883 in Halberstadt. [BHR1],,,,
Josaphat, Samuel, geb. 1768 in Witzenhausen, Hessen-Kassel, gest. 2. Mai 1829 in Kassel. [BHR1],,,
Jóseffy, Wilhelm, Dr., geb. 25. Okt. 1825 in Sárospatak, Ungarn, gest. 5. März 1910 in Budapest. [BHR1],,
Joseph, Israel. [BHR1],,,,,,
Joseph, Sender. [BHR1],,,,,,
Josua, Behrend, hebr. Issaschar-Berisch b. Arje-Leibusch, bürgerlich Behrend Levi, geb. 14. Juli 1747 in Frankfurt/M., gest. 25. Nov. 1802 in Hannover. [BHR1],,
Josua, Levi (hebr. Arje-Leibusch b. Jakob-Josua), gen. Penē ’Aryeh, geb. 1715 in Lisk, d. i. wohl Lesko (Linsk), Galizien, gest. 6. März 1789 in Hannover. [BHR1],
Juda b. Simcha, gest. 1852 in Niederwerrn, Unterfranken. Ca. 1842 Rb. in Niederwerrn. LIT. PK Bavaria, S. 530. [BHR1],,,,
Juda Löb Halevi,gest. 23. März 1819 in Skoki (Schocken) bei Posen. [BHR1],,,,,,
Juda-Löbele b. Zwi-Hirsch,gest. 30. Cheschwan 1852 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,,
Juda, Josua, auch Schië Lissa, geb. 1754 in Lissa, gest. 16. März 1806 in Berlin. [BHR1],,,
Juspa b. Daniel, gest. 11. Aug. 1792 in Hamburg. [BHR1],,,,,,
Kafka, Angelus, geb. ca. 1791 in Böhmen, gest. 17. Mai 1870 in Pilsen. [BHR1],,,,
Kahn, Isaak, geb. 1710 vermutlich in Breisach, gest. 20. Sept. 1797 in Sulzburg im badischen Oberland. [BHR1],,,,
Kahn, Israel-Isser, geb. 1749 in Hürben bei Krumbach, Schwaben, gest. 1827 das. [BHR1],,,
Kahn, Joseph, Dr., geb. 2. Sept. 1809 in Wawern, Kreis Saarburg, gest. 9. Juli 1875 in Amsterdam. [BHR1],,
Kahn, Ludwig, Dr., geb. 17. Juni 1845 in Baisingen, Württ., gest. 9. Okt. 1914 in Heilbronn. [BHR1],,
Kahn, Wolf David, auch W. D. Chan, geb. 1747 in Buttenwiesen, Schwaben, gest. 3. Mai 1815 in Randegg, Baden. [BHR1],
Kalb, Löb Moses. [BHR1],,,,,,
Kali, Mordechai J.,geb. 1764, gest. 23. Okt. 1831 in Skwierzyna (Schwerin a. W.), Prov. Posen. [BHR1],,,
Kalir, Eleasar, gen. ’Ōr ādāš, geb. 1738 in Eisenstadt, gest. 22. Okt. 1801 in Kolín, Böhmen. [BHR1],,
Kalisch, Eisig, geb. Anfang des 18. Jhs. in Libeň (Lieben) bei Prag, gest. 9. Feb. 1783 in Teplice (Teplitz), Nordböhmen. [BHR1],,,
Kalisch, Isidor, geb. 15. Nov. 1817 in Krotoszyn (Krotoschin), Prov. Posen, gest. 11. Mai 1886 in Newark, New Jersey. [BHR1],,
Kalisch, Wulff Marcus, geb. vermutlich in Kalisz, Großpolen. [BHR1],,,,
Kalischer, Abraham Moses, geb. in Leszno (Lissa), Großpolen, gest. 13. Mai 1812 in Piła (Schneidemühl), Netzedistrikt. [BHR1],,
Kalischer, Akiba, gen. Kiewert K., gest. 1857 in Leszno (Lissa), Prov. Posen. [BHR1],,,
Kalischer, Elias. [BHR1],,,,,,
Kalischer, Hirsch (hebr. Zwi-H.), geb. 28. März 1795 in Leszno (Lissa), gest. 16. Okt. 1874 in Toruń (Thorn), Prov. Westpreußen. [BHR1],,,
Kalischer, Löb (hebr. Juda-L.), gest. 17. April 1822 in Leszno (Lissa), Prov. Posen. [BHR1],,,,
Kalkar, Simeon, geb. 7. Okt. 1754 oder 1756 in Altona, gest. 21. Juni 1812. [BHR1],,,,
Kallmann, Löw, gest. 1825 in Kochendorf bei Neckarsulm. [BHR1],,,,,
Kallmann, Max Bär, geb. 26. März 1795 in Kochendorf bei Neckarsulm, gest. 1886 in Lehrensteinsfeld. [BHR1],,,,
Kalonymos-Kalman b. Jesaja. [BHR1],,,,,,,
Kann, Hirz (hebr. Naphtali-H.), geb. 1771 in Bad Bergzabern, gest. 11. März 1836 in Landau, Pfalz. [BHR1],,,
Kanstadt, Hirsch, auch H. Cannstatt, geb. 1770, gest. 1823 in Mainz. [BHR1],,,
Kanstadt, Moses, geb. 1744 vielleicht in Burgkunstadt, Oberfranken, gest. nach 1811. [BHR1],,,
Karfunkel, Aron, auch A. Garfunkel, geb. 1762 in Kalisz (Kalisch), Großpolen, gest. 16. Jan. 1816 in Breslau. [BHR1],,
Karfunkel, L. [BHR1],,,,,,
Kargau, Mendel, geb. 1772 in Prostiboř, Böhmen, gest. 4. Sept. 1842 in Fürth. [BHR1],,,
Karpeles, Abraham, geb. 1830 in Ivanovice na Hané (Eiwanowitz), Mähren, gest. 16. Okt. 1895 in Görbőpincehely, Ungarn. [BHR1],,
Karpeles, Elias, geb. 13. Juni 1822 in Slavkov (Austerlitz), Mähren, gest. 7. Juli 1889 in Wien. [BHR1],,,
Karpeles, Jakob, geb. 8. Feb. 1806 in Kroměříž (Kremsier), Mähren, gest. 13. Aug. 1843 in Kojetín (Kojetein). [BHR1],,,
Karpeles, Lazar, geb. ca. 1754 in Prag, gest. 27. April 1832 in Libeň (Lieben) bei Prag. [BHR1],,,,
Karpeles, Lazar, geb. vermutlich in Prostějov (Proßnitz), Mähren, gest. 1845 in Ivanovice na Hané (Eiwanowitz). [BHR1],,,
Karpeles, Mordechai, geb. vermutlich in Prostějov (Proßnitz), Mähren. [BHR1],,,,
Karpeles, Moses Hakohen gen. Präger, geb. 1765 in Prostějov (Proßnitz), Mähren, gest. 19. Jan. 1837 in Boskovice (Boskowitz). [BHR1],,,
Kassowitz, Löb (hebr. Juda-L.), gest. 20. Sept. 1782 in Prag. [BHR1],,,,,
Kastel, Mendele. [BHR1],,,,,,
Kastellan, Jakob, auch J. Lazarus, geb. in Koźmin (Koschmin), gest. 23. März 1877 in Żerków (Zerkow), Prov. Posen. [BHR1],,
Katz, Baruch Juda-Löb, gest. 14. April 1824 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,
Katz, Isaak, gest. 22. Dez. 1844 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,
Katz, Jekutiel-Kaufmann, geb. 1743 in Windsbach, Mittelfranken, gest. 10. Nov. 1818 in Sulzbach. [BHR1],,,
Katz, Juda-Judel, gest. 7. Sept. 1788 in Bamberg. [BHR1],,,,,
Katz, Löb (hebr. Arjeh-L.), gest. Sept./Okt. 1821. [BHR1],,,,,
Katz, Moses. [BHR1],,,,,,
Katz, Salomon, geb. ca. 1770 in Baiersdorf bei Erlangen. [BHR1],,,,,
Katzenellenbogen, Benjamin. [BHR1],,,,,,
Katzenellenbogen, Hirsch (hebr. Naftali-H. ben Elieser), gen. Ša‘ar Naftālī, bürgerlich Hirsch Lazar, auch Nephtalie-Lazare Hirsch, geb. 1749 in Bamberg  [BHR1], gest. 12. Nov. 1823 in Wintzenheim bei Colmar, Elsaß. [BHR1]
Katzenellenbogen, Hirsch (hebr. Naftali-H. ben Moses), geb. ca. 1715 in Schwabach, gest. 21. September 1800 in Mannheim. [BHR1],,,,
Katzenellenbogen, Jakob, gest. 11. Juli 1795 in Öttingen im Ries. [BHR1],,,,,
Katzenellenbogen, Pinkas, geb. 1767, gest. 12. Juli 1845 in Öttingen im Ries. [BHR1],,,,
Katzenellenbogen, Pinkus Samuel, geb. vermutlich in Deutschland, gest. 1828 in Hégenheim, Oberelsaß. [BHR1],,,
Katzenellenbogen, Saul, geb. um 1740, gest. 17. Juli 1810 in Grodzisk (Grätz), Großpolen. [BHR1],,,
Katzenstein, Joseph. [BHR1],,,,,,
Kauder, Abraham Beer. [BHR1],,,,,,
Kauder, Moses Ephraim, gest. ca. 1849 in Prag. [BHR1],,,,,
Kauder, Samuel Löw, geb. 1766 in Prag, gest. 6. Mai 1838 das. [BHR1],,,,
Kaufmann, J. [BHR1],,,,,,
Kaufmann, Jakob, geb. 3. Mai 1783 in Berlichingen, gest. 27. Febr. 1853 in Laupheim bei Ulm. [BHR1],,,,
Kaufmann, S. [BHR1],,,,,,
Kayserling, Moritz Meyer, Dr., geb. 17. Juni 1829 in Hannover, gest. 21. Apr. 1905 in Budapest. [BHR1],,,
Kellermann, H. [BHR1],,,,,,
Kempner, Löb (hebr. Arje-L.)," gest. ""27. Tischri 1797 (17. Okt. 1797?) in Prostějov (Proßnitz)", Mähren. [BHR1],,,,
Kempner, Mordechai, bürgerlich Marcus Elsner, geb. 1787 in Kępno (Kempen), Großpolen, gest. 5. Aug. 1831 in Pleszew (Pleschen), Prov. Posen. [BHR1],
Kips, Löb, bürgerlich L. Reckendorfer, geb. 1756 in Reckendorf, Oberfranken, gest. 7. Jan. 1835 in Burgkunstadt, Oberfranken. [BHR1],
Kirschbaum, E. [BHR1],,,,,,
Kitsee, Aron. [BHR1],,,,,,
Klausner, Hirsch (hebr. Zwi-H.), geb. 1. März 1802 in Kcynia (Exin), gest. 10. Nov. 1887 in Wągrowiec (Wongrowitz), Prov. Posen. [BHR1],,,
Klausner, Wolf, geb. 18. Okt. 1761 in Rawicz, Großpolen, gest. 13. Dez. 1861 in Kcynia (Exin), Prov. Posen. [BHR1],,
Kleeberg, Levi, Dr., geb. 14. Juli 1832 in Hofgeismar  [BHR1], Kurhessen, gest. 1. Sept. 1906 in Atlantic City, N. J., USA. [BHR1]
Klein, David, Dr. [BHR1],,,,,
Klein, Elchanan, gest. 1885 in Währing bei Wien. [BHR1],,,,,
Klein, Jakob, geb. in Gliwice (Gleiwitz), Oberschlesien, gest. 8. Mai 1810 in Slavkov (Austerlitz), Mähren. [BHR1],,
Klein, Joseph, Dr., geb. 1. Jan. 1807 in Memmelsdorf, Unterfranken, gest. 21. Mai 1873 in Glogau. [BHR1],,
Klein, Salomon, geb. 1833 in Přerov (Prerau), Mähren, gest. 1900 in Senta (Zenta), Woiwodina. [BHR1],,
Kleineibst, Markus, geb. in Leun bei Wetzlar. [BHR1],,,,,
Kleiser, Jakob, gest. 1797 in Altdorf im Breisgau. [BHR1],,,,,
Klemperer, Guttmann, auch Gumpel K., geb. 22. Aug. 1815 in Prag, gest. 28. Jan. 1884 in Tábor, Südböhmen. [BHR1],,
Klemperer, Wilhelm, Dr., geb. 30. März 1839 in Prag, gest. 12. Feb. 1912 in Berlin. [BHR1],,,
Klineberger, Josef, geb. ca. 1802. [BHR1],,,,,
Kluger, Isaak-Eisig. [BHR1],,,,,,
Knedl, Jakob. [BHR1],,,,,,
Knöpfmacher, Josef, geb. 3. Sept. 1815 in Mikulov (Nikolsburg), Mähren, gest. nach 1905. [BHR1],,,
Kobak, Josef Israel (auch Josef Isaak K.), geb. ca. 1832 in Lemberg, gest. 7. Feb. 1913 das. [BHR1],,,,
Kobler, Jakob. [BHR1],,,,,,
Kochmann, Itzig. [BHR1],,,,,,
Kohler, Kaufmann, Dr., geb. 10. Mai 1843 in Fürth, gest. 28. Jan. 1926 in New York. [BHR1],,,
Kohlmeyer, Hermann, auch Hirsch K., geb. ca. 1813 in Forth, Mittelfranken. [BHR1],,,
Kohn, Abraham, geb. 1. Jan. 1807 in Zalužany bei Písek, Böhmen, ermordet 7. Sept. 1848 in Lemberg. [BHR1],,,
Kohn, Abraham, gest. 1905. [BHR1],,,,,
Kohn, Albert, auch Adalbert oder Abisch K., geb. Juni 1811 in Tachov (Tachau), Böhmen, gest. 7. Nov. 1870 in Prag. [BHR1],,
Kohn, Aron, auch A. Weikersheim. [BHR1],,,,,
Kohn, Daniel. [BHR1],,,,,,
Kohn, David. [BHR1],,,,,,
Kohn, Falk. [BHR1],,,,,,
Kohn, Gabriel, auch G. Cohn oder G. Katz, geb. 1783/84 in Września (Wreschen), gest. 24. Mai 1864 in Szamotuły (Samter), Prov. Posen. [BHR1],,
Kohn, Haium. [BHR1],,,,,,
Kohn, Isak, geb. 1806 in Golčův Jeníkov (Goltsch-Jenikau), Ostböhmen, gest. 11. Aug. 1855 in Prag. [BHR1],,,
Kohn, Jakob, Dr., auch John K., geb. in Miskolc (Miskolz), Ungarn. [BHR1],,
Kohn, Jonas, gest. 5. Apr. 1898 in Prag. [BHR1],,,,,
Kohn, Josef, gest. 19. März 1859 in Žamberk (Senftenberg), Ostböhmen. [BHR1],,,,
Kohn, Josef Samuel, gest. ca. 1850 in Mikulov (Nikolsburg), Mähren. [BHR1],,,,
Kohn, Leopold. [BHR1],,,,,,
Kohn, Löwy. [BHR1],,,,,,
Kohn, Marx Michael, geb. in Kleinerdlingen, Bay.-Schwaben, gest. 26. Feb. 1888 das. [BHR1],,,
Kohn, Mendel, geb. 1774 in Krzepice, Oberschlesien, gest. 1829 in Bytom (Beuthen). [BHR1],,,
Kohn, Meschullam, gen. Bigdē Kehunnāh oder MeHaRZaCh, geb. 1739 in Rawicz, Großpolen, gest. 17. Dez. 1819 in Fürth. [BHR1],,
Kohn, Michael Lazar, geb. 2. Febr. 1811 in Miroslav (Mißlitz), Mähren, gest. 18. März 1893 in Písečné (Piesling). [BHR1],,,
Kohn, Michael Löbl. [BHR1],,,,,,
Kohn, Moses, auch M. Weikersheim oder Weigersheim, gest. 1788 in Weikersheim, Fsm. Hohenlohe. [BHR1],,,
Kohn, Moses Löb, gest. 1890 in Mikulov (Nikolsburg), Mähren. [BHR1],,,,
Kohn, Salomon, gest. 1. Apr. 1824 in Biała (Zülz), Oberschlesien. [BHR1],,,,
Kohn, Samuel, Ende des 18. Jahrhunderts Vize-Rabbiner in Bayreuth, dem Landesrb. in Baiersdorf unterstellt. LIT. PK Bavaria, S. 225. [BHR1],,,
Kohn, Samuel, gen. S. Kostelhore, geb. in Kosová Hora (Amschelberg), Zentralböhmen, gest. 20. Aug. 1811 in Tachov (Tachau), Westböhmen. [BHR1],
Kohn, Simon. [BHR1],,,,,,
Kohner, I. H. [BHR1],,,,,,
Kohner, Philipp, hebr. Falk Kohn, geb. ca. 1765, gest. 8. Dez. 1834 in Poběžovice na Šumavě (Ronsperg im Böhmerwald), Westböhmen. [BHR1],,
Kolin, Samuel, auch S. Kellin oder Köll, gen. Maaīth ha-Šäqäl, geb. 1724 in Kolín  [BHR1], Zentralböhmen, gest. 20. Mai 1806 in Boskovice (Boskowitz), Mähren. [BHR1]
Kollek, Abraham. [BHR1],,,,,,
Königshöfer, Moses Jonas, Dr., geb. 14. Apr. 1844 in Welbhausen, Mittelfranken, gest. Juni 1894 in Fürth. [BHR1],,
Königsthal, Jakob. [BHR1],,,,,,
Korczyner, Moses, gest. 1830 in Mikulov (Nikolsburg) [BHR1], Mähren.- Sohn des Selig K., um 1814 Dajan in Mikulov. PUBL. Frage an Moses Sofer in dessen Responsen, Bd. VI, Nr. 37. LIT. Kinstlicher, Hä- ātham Sōfer uvenē dōrō
Kornblüh, Samuel. [BHR1],,,,,,
Kornfeld, Aron, geb. 2. Aug. 1795 [17. Ab] in Golčův Jeníkov (Goltsch-Jenikau), Böhmen, gest. 26. Okt. 1881 das. [BHR1],,,
Kornfeld, Moritz, geb. 1816 in Tučapy (Tutschap), Südböhmen. [BHR1],,,,
Kornitzer, J. L. [BHR1],,,,,,
Korpulus, Aron, geb. in Grodzisk Wielkopolski (Grätz), Großpolen, gest. 28. Juni 1836 in Biała (Zülz), Oberschlesien. [BHR1],,
Kösslin, Baruch, gest. 1810 in Emden. [BHR1],,,,,
Kožíček, Emanuel. [BHR1],,,,,,
Krailsheimer, Gabriel, geb. in Wüstensachsen/Rhön, gest. 10. April 1842 in Bamberg. [BHR1],,,,
Krakauer, Abraham Halevi. [BHR1],,,,,,
Kralowsky, Abraham, geb. in Strážnice (Straßnitz) in Mähren, gest. 1843 in Uherský Brod (Ungarisch-Brod). [BHR1],,,,
Krimke, Isaak Jakob, geb. 24. Juni 1824 in Hamburg, gest. 20. Nov. 1886 in Hannover. [BHR1],,,,
Kristeller, Samuel, gest. 24. Nov. 1831 in Wolsztyn (Wollstein), Prov. Posen. [BHR1],,,,
Kron, Jakob, gest. 18. Okt. 1794 in Braunschweig. [BHR1],,,,,
Kron, Schemaja, gest. 27. April 1825 in Hanau. [BHR1],,,,,
Kronach, Abraham, gest. Anfang Kislew 5573/1812 in Kiel. [BHR1],,,,,
Kroner, Aron, Dr., geb. ca. 1828. [BHR1],,,,
Kroner, Chaim. [BHR1],,,,,,
Kroniker, Moses, auch M. Kornik nach der Stadt Kórnik (Kurnik) in Großpolen. [BHR1],,,,,
Kronstadt, Jakob-Benjamin, geb. in Krotoszyn (Krotoschin), Großpolen, gest. 3. Dez. 1791 in Hanau. [BHR1],,,
Krotoschin, Herz. [BHR1],,,,,,
Krüger, Markus Salomon, Dr. med., geb. 6. Nov. 1811 in Krotoszyn (Krotoschin) in der späteren Prov. Posen. [BHR1],,,,
Kuhn, Hirsch Benjamin. [BHR1],,,,,,
Kulb, David, geb. 1767 in Deutschland, gest. 21. Feb. 1842 in Teplice (Teplitz) in Nordböhmen. [BHR1],,,,
Kulke, Simson, geb. 1809 in Lipník (Leipnik), Mähren, gest. 3. Jan. 1894 in Podivín (Kostel). [BHR1],,,
Kunreuther, Bär (heb. Issaschar-B.), geb. 7. Juni 1797 in Baiersdorf bei Erlangen in der Mgft. Bayreuth, gest. vermutlich in den USA. [BHR1],,,,
Kunreuther, Hirsch (hebr. Naftali-H.), geb. 1771 in Kunreuth, Oberfranken, gest. 12. Febr. 1847 in Gelnhausen, Kurhessen. [BHR1],,
Kunreuther, Ignatz, geb. 1811 vermutlich in Baiersdorf bei Erlangen, gest. 27. Juni 1884 in Chicago. [BHR1],,,,
Kunreuther, Jekutiel, geb. 1815 in Bad Mergentheim, Württ., gest. 1865 in Biblis, Hessen-Darmstadt. [BHR1],,
Kutna, Aron. [BHR1],,,,,,
Kutner, Josua-Höschel, geb. in Września (Wreschen), Prov. Posen, gest. 5. Juli 1878 in Leszno (Lissa). [BHR1],,,
Kuttenplan, Josef, abgekürzt J. Kapp, geb. 1763 in Holešov (Holleschau), Mähren, gest. 3. Juli 1813 in Stupava (Stampfen), Slowakei. [BHR1],
Kuttner, Nathan Hirsch, geb. 16. November 1816 in Międzyrzecz (Meseritz), Prov. Posen, gest. nach 1891 vermutlich in Schwedt a. d. Oder, Prov. Brandenburg. [BHR1],,
Labaszynski, Joseph, auch J. Labaschinski, geb. in Gniezno (Gnesen), Prov. Posen, gest. 1894 in Borek. [BHR1],,
Labiszynski, Aron, gest. 24. Kislew 1850 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,
Lahnstein, Israel, gest. 11. März 1796 in Berlin. [BHR1],,,,,
Lamberg, Ascher, geb. ca. 1790, gest. 1876 in Miroslav (Mißlitz), Mähren. [BHR1],,,
Lamberg, Max, Dr., geb. 1820 in Ostroh (Ungarisch-Ostra), Mähren, gest. 1890 in Wien. [BHR1],,
Lammfromm, Jakob M., gest. 1821/22 in Buttenwiesen, Bayer.- Schwaben. [BHR1],,,,
Lämmle, Maier, eigentlich Lemle b. Meir, gest. 15. Juli 1804 in Laupheim, Schwaben. [BHR1],,,
Landau, Ascher," gest. ""9. Tischri 1843"" (3. Okt. 1843?) in Breslau. [BHR1]",,,,,
Landau, David, auch D. Pollak, geb. in Leszno (Lissa), Großpolen, gest. 4. Dez. 1818 in Dresden. [BHR1],,
Landau, Ezechiel, gen. Ha-Nōdā‘ bĪhūdāh, geb. 8. Okt. 1713 in Opatów, Kleinpolen, gest. 29. Apr. 1793 in Prag. [BHR1],,
Landau, Israel-Jona, gest. 15. Jan. 1824 in Kępno (Kempen), Prov. Posen. [BHR1],,,,
Landau, Joseph-Samuel, geb. 1799, gest. 22. Nov. 1836 in Kępno (Kempen), Prov. Posen. [BHR1],,,
Landau, Menachem-Mendel, gest. 29. Mai 1909 in Raszków (Raschkow), Prov. Posen. [BHR1],,,,
Landau, Samuel, geb. 1751 in Jampiľ (Jampola), Wolhynien, gest. 30. Okt. 1834 in Prag. [BHR1],,,
Landau, Wolf, Dr., geb. 1. März 1811 in Dresden, gest. 24. Aug. 1886 das. [BHR1],,,
Landauer, Gabriel Josua, Dr., geb. 1812 in Kassel, gest. nach 1890 vermutlich in Braunschweig. [BHR1],,,
Landauer, Joseph, geb. 1804 in Harburg im Fsm. Öttingen- Wallerstein, gest. 7. Juni 1853 in Fischach, Bayer.-Schwaben. [BHR1],,,
Landauer, Meyer Hirsch, geb. 1808 in Kappel bei Bad Buchau, Württ., gest. 3. Feb. 1841 das. [BHR1],,,
Lande, Jakob, gest. 11. Juli 1787 in Ostrów Wielkopolski (Ostrowo), Großpolen. [BHR1],,,,
Lando, Moses, auch Moses Michel, gen. hä-arīf [der Scharfsinnige], geb. 1761, gest. 13. März 1828 in Trzcianka (Schönlanke), Prov. Posen. [BHR1],
Landsberg, Elias, geb. 1800, gest. 1879 in Hannover. [BHR1],,,,
Landsberg, Joseph, geb. 1750, gest. 1825 in Posen. [BHR1],,,,
Landsberg, Lewin, hebr. Arje-Löbusch, geb. ca. 1799 in Lubraniec, Russ.-Polen, gest. 26. Jan. 1876 in Mikołów (Nikolai), Oberschlesien. [BHR1],
Landsberg, Louis, Dr., geb. 12. Dez. 1825 in Kargowa (Unruhstadt), Prov. Posen, gest. 1904 in Maastricht, Niederlande. [BHR1],
Landsberg, Max, Dr., geb. 26. Feb. 1845 in Berlin, gest. 9. Dez. 1927 in Rochester, N. Y. [BHR1],,
Landsberg, Max, Dr., eigentlich Marcus L., geb. 13. Sept. 1826 in Zaniemyśl (Santomischel), Prov. Posen, gest. 13. Jan. 1901 in Posen. [BHR1],
Landsberg, Mayer, Dr., geb. 11. April 1810 in Międzyrzecz (Meseritz) in der späteren Provinz Posen, gest. 20. Mai 1870 in Hildesheim. [BHR1],,,
Landsberg, Moritz, Dr., geb. 9. Aug. 1824 in Rawicz, Prov. Posen, gest. 26. Dez. 1882 in Legnica (Liegnitz), Niederschlesien. [BHR1],
Landsberg, Moses Elkan, geb. 1776 in Posen, gest. 7. Dez. 1844 in Kargowa (Unruhstadt-Karge), Prov. Posen. [BHR1],,,
Landsberger, Israel. [BHR1],,,,,,
Landsberger, Julius, Dr.,geb. 10. Aug. 1819 in Biała (Zülz), Oberschlesien, gest. 3. März 1890 in Darmstadt. [BHR1],,
Landsberger, Julius, Dr., geb. 1822 in Skrońsko (Skronskau) bei Oleśno (Rosenberg), Oberschlesien. [BHR1],,,
Landsberger, Mayer. [BHR1],,,,,,
Landsberger, Michael, geb. 25. Sept. 1804 in Berlin, gest. 6. Juli 1870 das. [BHR1],,,,
Landsberger, Moses. [BHR1],,,,,,
Landsberger, Moses. [BHR1],,,,,,
Landsberger, Schmaja, auch Simon Joachim, geb. 22. Mai 1744 in Berlin, gest. 19. Aug. 1824 das. [BHR1],,,
Lange, Isaak Michael, geb. in der Nähe von Halberstadt, gest. 1880 in Halberstadt. [BHR1],,,,
Langenfelder, Jakob. [BHR1],,,,,,
Laseron, Wolf, auch W. Laserson, geb. 1784, gest. 22. Mai 1828 in Königsberg. [BHR1],,,
Lasker, Jakob-Abraham, geb. in Łask im östl. Großpolen, gest. 17. März 1810 in Nowe Miasto nad Wartą (Neustadt a. d. Warthe). [BHR1],,,,
Lasker, Raphael, geb. 19. Feb. 1838 in Sieraków (Zirke), Prov. Posen, gest. 12. Sept. 1904 in Brooklyn, USA. [BHR1],,
Latzar, Lasar, geb. 1822 in Galizien, gest. 24. Juli 1869 in Meisenheim am Glan. [BHR1],,,,
Lazar, Jakob. [BHR1],,,,,,
Lazarus, Aron Löb, gest. 26. Feb. 1874 in Wieleń (Filehne), Prov. Posen. [BHR1],,,,
Lazarus, Leiser, Dr., geb. 8. Apr. 1822 in Wieleń (Filehne), Prov. Posen, gest. 16. April 1879 in Breslau. [BHR1],,
Lazarus, Marx, hebr. Mordechai b. Elieser Halevi, geb. 1739, gest. 21. Dez. 1813 in Gunzenhausen, Mittelfranken. [BHR1],,
Lebrecht, Meyer, geb. in Memmelsdorf, Unterfranken, gest. 1894 in Schweinfurt. [BHR1],,,
Lebrecht, Moses Meier, geb. 1810, gest. 1897 in München. [BHR1],,,,
Lehmann, David, geb. 5. Nov. 1824 in Buttenhausen, Württ., gest. 4. Mai 1852 in Rixheim, Oberelsaß. [BHR1],,
Lehmann, Josef B., Dr. [BHR1],,,,,
Lehmann, Leopold, geb. 17. April 1800 in Straßburg, gest. ca. 1880 in Belfort, Oberelsaß. [BHR1],,,
Lehmann, Markus, Dr., hebr. Meïr L., geb. 29. Dez. 1831 in Verden, Kgr. Hannover, gest. 14. April 1890 in Mainz. [BHR1],
Leipen, Josef, geb. in Česká Lípa (Böhmisch-Leipa) in Nordböhmen, gest. 21. April 1800 in Teplice (Teplitz), Nordböhmen. [BHR1],,,
Lemberger, Jechiel, genannt J. Wertheimer, geb. 19. April 1727 vermutlich in Prostějov (Proßnitz), Mähren, gest. 2. April 1797 in Jebenhausen bei Göppingen. [BHR1],,
Lemberger, Löb (hebr. Juda-Arjeh-L.), polnisch L. Lewow, gest. 1792 in Schwabach. [BHR1],,,,
Lemberger, Moses, polnisch M. Lewow, geb. ca. 1715 in Metz, gest. 5. Aug. 1788 in Trier. [BHR1],,,
Lengsfelder, Abraham Meyer, gest. Hochsommer 1820 in Bamberg. [BHR1],,,,,
Lengsfelder, Salomon, geb. 1810 in Prag, gest. 14. Okt. 1894 in Rychnov nad Kněžnou (Reichenau a. d. Knieschna), Böhmen. [BHR1],,,
